,Date(UTC),total_eth_supply,total_block_uncle_reward,total_block_count,total_uncle_count,BurntFees
349,7/13/2016,81958850.1875,32158.59375,6086,435,0.0
350,7/14/2016,81990660.96875,31810.78125,6001,457,0.0
351,7/15/2016,82022545.65625,31884.6875,5988,490,0.0
352,7/16/2016,82054716.125,32170.46875,6081,447,0.0
353,7/17/2016,82086493.46875,31777.34375,6029,415,0.0
354,7/18/2016,82118991.59375,32498.125,6109,496,0.0
355,7/19/2016,82150765.5,31773.90625,5970,489,0.0
356,7/20/2016,82182680.34375,31914.84375,5946,543,0.0
357,7/21/2016,82215464.09375,32783.75,6154,500,0.0
358,7/22/2016,82247154.71875,31690.625,5957,472,0.0
359,7/23/2016,82279549.71875,32395.0,6093,472,0.0
360,7/24/2016,82311025.96875,31476.25,5937,444,0.0
361,7/25/2016,82343017.53125,31991.5625,6030,450,0.0
362,7/26/2016,82373795.03125,30777.5,5809,424,0.0
363,7/27/2016,82406732.84375,32937.8125,6175,510,0.0
364,7/28/2016,82439087.0625,32354.21875,6081,483,0.0
365,7/29/2016,82471026.4375,31939.375,5979,504,0.0
366,7/30/2016,82502668.15625,31641.71875,5981,431,0.0
367,7/31/2016,82534887.6875,32219.53125,6029,505,0.0
368,8/1/2016,82566482.0625,31594.375,5961,440,0.0
369,8/2/2016,82597837.21875,31355.15625,5894,461,0.0
370,8/3/2016,82629544.875,31707.65625,5984,437,0.0
371,8/4/2016,82662397.6875,32852.8125,6192,466,0.0
372,8/5/2016,82694629.71875,32232.03125,6065,469,0.0
373,8/6/2016,82726219.5625,31589.84375,5978,419,0.0
374,8/7/2016,82758510.65625,32291.09375,6077,467,0.0
375,8/8/2016,82790686.59375,32175.9375,6059,462,0.0
376,8/9/2016,82823353.0,32666.40625,6130,497,0.0
377,8/10/2016,82855515.96875,32162.96875,6054,467,0.0
378,8/11/2016,82887720.8125,32204.84375,6068,455,0.0
379,8/12/2016,82919824.09375,32103.28125,6014,505,0.0
380,8/13/2016,82951823.0,31998.90625,6032,453,0.0
381,8/14/2016,82983791.90625,31968.90625,6034,441,0.0
382,8/15/2016,83016120.8125,32328.90625,6090,461,0.0
383,8/16/2016,83048158.0,32037.1875,6054,434,0.0
384,8/17/2016,83080152.53125,31994.53125,6009,481,0.0
385,8/18/2016,83112941.59375,32789.0625,6100,570,0.0
386,8/19/2016,83144783.0,31841.40625,6014,441,0.0
387,8/20/2016,83177018.625,32235.625,6055,492,0.0
388,8/21/2016,83209710.96875,32692.34375,6084,571,0.0
389,8/22/2016,83242003.78125,32292.8125,6078,478,0.0
390,8/23/2016,83274187.6875,32183.90625,6015,529,0.0
391,8/24/2016,83306461.125,32273.4375,6053,502,0.0
392,8/25/2016,83338596.75,32135.625,6094,420,0.0
393,8/26/2016,83370468.15625,31871.40625,6006,461,0.0
394,8/27/2016,83402774.5625,32306.40625,6076,485,0.0
395,8/28/2016,83434802.53125,32027.96875,6035,463,0.0
396,8/29/2016,83466728.9375,31926.40625,6014,465,0.0
397,8/30/2016,83498603.78125,31874.84375,6026,439,0.0
398,8/31/2016,83530738.3125,32134.53125,6073,449,0.0
399,9/1/2016,83562483.0,31744.6875,5989,454,0.0
400,9/2/2016,83594867.0625,32384.0625,6088,490,0.0
401,9/3/2016,83626363.0,31495.9375,5949,438,0.0
402,9/4/2016,83658227.0625,31864.0625,6023,438,0.0
403,9/5/2016,83690416.75,32189.6875,6076,458,0.0
404,9/6/2016,83722098.15625,31681.40625,5993,429,0.0
405,9/7/2016,83754365.96875,32267.8125,6118,422,0.0
406,9/8/2016,83786274.5625,31908.59375,6016,463,0.0
407,9/9/2016,83818491.4375,32216.875,6074,464,0.0
408,9/10/2016,83850322.0625,31830.625,5999,460,0.0
409,9/11/2016,83882675.03125,32352.96875,6093,479,0.0
410,9/12/2016,83914912.0625,32237.03125,6063,485,0.0
411,9/13/2016,83946816.90625,31904.84375,6003,471,0.0
412,9/14/2016,83979345.65625,32528.75,6091,520,0.0
413,9/15/2016,84011528.46875,32182.8125,6031,514,0.0
414,9/16/2016,84043767.53125,32239.0625,6065,482,0.0
415,9/17/2016,84075922.53125,32155.0,6044,492,0.0
416,9/18/2016,84105496.4375,29573.90625,5598,429,0.0
417,9/19/2016,84139773.3125,34276.875,6409,672,0.0
418,9/20/2016,84172265.8125,32492.5,6167,476,0.0
419,9/21/2016,84204349.5625,32083.75,6062,500,0.0
420,9/22/2016,84235955.1875,31605.625,5746,848,0.0
421,9/23/2016,84270235.1875,34280.0,6226,868,0.0
422,9/24/2016,84303560.03125,33324.84375,5877,1103,0.0
423,9/25/2016,84337950.5,34390.46875,6267,863,0.0
424,9/26/2016,84370081.28125,32130.78125,5843,877,0.0
425,9/27/2016,84405365.65625,35284.375,6053,1436,0.0
426,9/28/2016,84437769.09375,32403.4375,6106,522,0.0
427,9/29/2016,84470082.53125,32313.4375,6126,462,0.0
428,9/30/2016,84501705.8125,31623.28125,6008,433,0.0
429,10/1/2016,84536184.40625,34478.59375,5780,1507,0.0
430,10/2/2016,84571945.1875,35760.78125,6068,1445,0.0
431,10/3/2016,84605219.71875,33274.53125,6204,661,0.0
432,10/4/2016,84637271.125,32051.40625,6077,533,0.0
433,10/5/2016,84670352.6875,33081.5625,5817,1234,0.0
434,10/6/2016,84703194.5625,32841.875,5953,896,0.0
435,10/7/2016,84739746.4375,36551.875,5887,2044,0.0
436,10/8/2016,84775841.125,36094.6875,6200,1394,0.0
437,10/9/2016,84809266.75,33425.625,6049,880,0.0
438,10/10/2016,84842397.6875,33130.9375,6041,814,0.0
439,10/11/2016,84874877.21875,32479.53125,6050,633,0.0
440,10/12/2016,84907969.875,33092.65625,5910,969,0.0
441,10/13/2016,84942796.125,34826.25,6114,1208,0.0
442,10/14/2016,84975709.875,32913.75,6079,708,0.0
443,10/15/2016,85007917.0625,32207.1875,6027,582,0.0
444,10/16/2016,85040847.375,32930.3125,6055,746,0.0
445,10/17/2016,85073225.1875,32377.8125,5959,718,0.0
446,10/18/2016,85106545.5,33320.3125,6119,758,0.0
447,10/19/2016,85139695.1875,33149.6875,5774,1178,0.0
